Código Institución,Nombre Institución,Número Identificación Tributaria - NIT,Principal/Seccional,Naturaleza Jurídica,Sector,Carácter Académico,Cod Departamento,Departamento Domicilio,Cod Municipio,Municipio Domicilio,Dirección Domicilio,Teléfono Domicilio,Norma de Creación,Fecha Norma de Creación,¿Acreditada Alta Calidad?,Fecha Acreditación,Resolución de la acreditación,Vigencia de la acreditación,Estado,Fecha Actualizacion,Página Web
1123,UNIVERSIDAD POPULAR DEL CESAR,892.300.285-6,Seccional,Nacional,Oficial,Universidad,Cesar,Cesar,,Aguachica,Cra. 40  v¿a al Mar,5654900,Ley 34 Congreso de Colombia.,1976-11-19,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.unicesar.edu.co
1220,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,Seccional,Departamental,Oficial,Universidad,Antioquia,Antioquia,,Andes,Km. 4 Salida Medell¿n Vereda Campamento,8418052,No informa SIN DATO SIN DATO,3916-01-28,NO,NA,2087,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.udea.edu.co
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,Principal,Nacional,Oficial,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Carrera 45 #26 - 85,3165000,Ley 66 Congreso de la Rep¿blica,1899-12-30,SI,2021-08-25,15859,10,Activa en la Fecha de Actualizacion,2022-07-08,www.unal.edu.co
1102,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Antioquia,Antioquia,,Medellín,"Calle 59A No 63 - 20, N¿cleo El Volador",4309000,Ley 66 Congreso de la Republica,1899-12-30,SI,2021-08-25,15859,10,Activa en la Fecha de Actualizacion,2022-07-08,www.medellin.unal.edu.co
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Caldas,Caldas,,Manizales,Carrera 27 No. 64-60,8879300,Ley 66 Congreso de la Republica,1899-12-30,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.manizales.unal.edu.co
1104,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,Seccional,Nacional,Oficial,Universidad,Valle del Cauca,Valle del Cauca,,Palmira,"Carrera 32 No 12 - 00 Chapinero, V¿a Candelaria",2868888,Ley 66 Congreso de la Republica,1899-12-30,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,2022-07-08,www.palmira.unal.edu.co
1105,UNIVERSIDAD PEDAGOGICA NACIONAL,899.999.124-4,Principal,Nacional,Oficial,Universidad,Bogotá D.C.,Bogotá D.C.,,"Bogotá, D.C.",Calle  73  No.11-95,3471190,Decreto 197 Gobierno Nacional,1955-02-01,SI,2021-08-12,14621,6,Activa en la Fecha de Actualizacion,2022-07-08,www.pedagogica.edu.co
1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,Principal,Nacional,Oficial,Universidad,Boyacá,Boyacá,,Tunja,Avenida Central del Norte 39-115,7422175,Decreto 2655 Gobierno Nacional,1953-10-10,SI,2021-12-10,23655,6,Activa en la Fecha de Actualizacion,2022-07-08,www.uptc.edu.co
1107,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,Seccional,Nacional,Oficial,Universidad,Boyacá,Boyacá,,Duitama,Carrera 18 Calle 23,604100,Decreto 2655 Gobierno Nacional,3916-01-28,SI,2021-12-10,23655,6,Activa en la Fecha de Actualizacion,2022-07-08,www.uptc.edu.co
1108,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,Seccional,Nacional,Oficial,Universidad,Boyacá,Boyacá,,Sogamoso,Calle 4 Sur No. 15-134,701693,Decreto 2655 Gobierno Nacional.,1953-10-10,SI,2021-12-10,23655,6,Activa en la Fecha de Actualizacion,2022-07-08,www.uptc.edu.co
1109,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,Seccional,Nacional,Oficial,Universidad,Boyacá,Boyacá,,Chiquinquirá,Calle 14A No. 2-37,262598,Decreto 2655 Gobierno Nacional,1953-10-10,SI,2021-12-10,23655,6,Activa en la Fecha de Actualizacion,2022-07-08,www.uptc.edu.co
1110,UNIVERSIDAD DEL CAUCA,891.500.319-2,Principal,Nacional,Oficial,Universidad,Cauca,Cauca,,Popayán,"Claustro de Santo Domingo, Calle 5 No. 4-70",8209900,Decreto 0 Gobierno Nacional,1899-12-30,SI,2019-06-13,6218,8,Activa en la Fecha de Actualizacion,2022-07-08,www.unicauca.edu.co
1111,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,891.480.035-9,Principal,Nacional,Oficial,Universidad,Risaralda,Risaralda,,Pereira,Carrera 27 #10-02,3215693,Ley 41 Congreso de la Rep¿blica,1958-12-15,SI,2021-05-28,9597,10,Activa en la Fecha de Actualizacion,2022-07-08,www.utp.edu.co
