CodigoInstitucion,NombreInstitucion,TipoDeSede,Sector,NombreCaracterAcademico,DepartamentoDomicilio,NombreMunicipioPrograma,DireccionDomicilio,TelefonoDomicilio,NombreEstadoPrograma,PaginaWeb
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Principal,Oficial,Universidad,Bogotá D.C.,"Bogotá, D.C.",Carrera 45 #26 - 85,3165000,Activa en la Fecha de Actualizacion,www.unal.edu.co
1102,UNIVERSIDAD NACIONAL DE COLOMBIA,Seccional,Oficial,Universidad,Antioquia,Medellín,"Calle 59A No 63 - 20, Núcleo El Volador",4309000,Activa en la Fecha de Actualizacion,www.medellin.unal.edu.co
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,Seccional,Oficial,Universidad,Caldas,Manizales,Carrera 27 No. 64-60,8879300,Activa en la Fecha de Actualizacion,www.manizales.unal.edu.co
1104,UNIVERSIDAD NACIONAL DE COLOMBIA,Seccional,Oficial,Universidad,Valle del Cauca,Palmira,"Carrera 32 No 12 - 00 Chapinero, Vía Candelaria",2868888,Activa en la Fecha de Actualizacion,www.palmira.unal.edu.co
1105,UNIVERSIDAD PEDAGOGICA NACIONAL,Principal,Oficial,Universidad,Bogotá D.C.,"Bogotá, D.C.",Calle  73  No.11-95,3471190,Activa en la Fecha de Actualizacion,www.pedagogica.edu.co
1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Principal,Oficial,Universidad,Boyacá,Tunja,Avenida Central del Norte 39-115,7422175,Activa en la Fecha de Actualizacion,www.uptc.edu.co
1107,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Seccional,Oficial,Universidad,Boyacá,Duitama,Carrera 18 Calle 23,604100,Activa en la Fecha de Actualizacion,www.uptc.edu.co
1108,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Seccional,Oficial,Universidad,Boyacá,Sogamoso,Calle 4 Sur No. 15-134,701693,Activa en la Fecha de Actualizacion,www.uptc.edu.co
1109,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Seccional,Oficial,Universidad,Boyacá,Chiquinquirá,Calle 14A No. 2-37,262598,Activa en la Fecha de Actualizacion,www.uptc.edu.co
1110,UNIVERSIDAD DEL CAUCA,Principal,Oficial,Universidad,Cauca,Popayán,"Claustro de Santo Domingo, Calle 5 No. 4-70",8209900,Activa en la Fecha de Actualizacion,www.unicauca.edu.co
1111,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Principal,Oficial,Universidad,Risaralda,Pereira,Carrera 27 #10-02,3215693,Activa en la Fecha de Actualizacion,www.utp.edu.co
1112,UNIVERSIDAD DE CALDAS,Principal,Oficial,Universidad,Caldas,Manizales,Calle 65  26-10,8861250,Activa en la Fecha de Actualizacion,www.ucaldas.edu.co
1113,UNIVERSIDAD DE CORDOBA,Principal,Oficial,Universidad,Córdoba,Montería,Carrera 6 No. 77-305,7860300,Activa en la Fecha de Actualizacion,www.unicordoba.edu.co
1114,UNIVERSIDAD SURCOLOMBIANA,Principal,Oficial,Universidad,Huila,Neiva,Avenida Pastrana Borrero Carrera 1,8754753,Activa en la Fecha de Actualizacion,www.usco.edu.co
1115,UNIVERSIDAD DE LA AMAZONIA,Principal,Oficial,Universidad,Caquetá,Florencia,"Avenida Circunvalar, Barrio Porvenir",4352905,Activa en la Fecha de Actualizacion,www.uniamazonia.edu.co
1117,UNIVERSIDAD MILITAR-NUEVA GRANADA,Principal,Oficial,Universidad,Bogotá D.C.,"Bogotá, D.C.",Carrera 11 No. 101-80,2159689,Activa en la Fecha de Actualizacion,www.umng.edu.co
